# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	41768
#@/user_id	Squirrelx_Macx
a 	啊	c=784 d=4.45109 t=41768
a 	阿	c=1 d=0.0481909 t=41768
a da fa diao 	啊打發掉	c=1 d=0.0374406 t=41768
a dao fu 	阿道夫	c=1 d=6.63403e-26 t=41768
a de fa da sha 	啊德發大廈	c=1 d=6.73429e-26 t=41768
a er sa si 	阿爾薩斯	c=1 d=0.26982 t=41768
a fa si ding 	阿伐斯汀	c=0 d=2.4431e-10 t=41768
a ha 	啊哈	c=2 d=0.0675424 t=41768
a ha ha ha 	啊哈哈哈	c=1 d=1.6957e-07 t=41768
a hong 	阿訇	c=1 d=4.15998e-06 t=41768
a ji de 	阿基德	c=1 d=1 t=3807
a ka di jia 	阿卡迪加	c=0 d=0.1 t=2572
a ka di jia fa ke si 	阿卡迪加法克斯	c=1 d=1 t=2573
a lai shi 	阿萊士	c=0 d=0.1 t=1317
a lei lu ya 	阿雷路亞	c=1 d=1.46274e-33 t=41768
a leng 	阿楞	c=1 d=0.00272578 t=41768
a li 	阿里	c=2 d=0.0804596 t=41768
a li ke si dun 	阿歷克斯頓	c=0 d=3.53635e-08 t=41768
a li yun 	阿里雲	c=1 d=7.15582e-05 t=41768
a qiao 	阿悄	c=1 d=8.14482e-28 t=41768
a san 	阿三	c=1 d=0.000916453 t=41768
a she ji guan 	啊射擊館	c=1 d=0.0381969 t=41768
a si di fen 	阿斯蒂芬	c=0 d=0.1 t=2276
a si dun 	阿斯頓	c=0 d=3.48351e-10 t=41768
a si dun fa 	阿斯頓法	c=4 d=0.00378169 t=41768
a si dun fa di san fang 	阿斯頓法第三方	c=1 d=0.0380064 t=41768
a si dun fa shang de 	阿斯頓法上的	c=2 d=3.43184e-07 t=41768
a si dun fa sheng de 	阿斯頓發生地	c=2 d=1.01777 t=2279
a si dun fa sheng fa sheng de 	阿斯頓發生發生地	c=1 d=1 t=1182
a su du fa 	啊速讀法	c=2 d=1.13416 t=2881
a su du fa shi 	啊速讀法是	c=1 d=1 t=2882
a xi ba 	阿西吧	c=1 d=4.74896e-05 t=41768
ai 	哎	c=4 d=3.04837e-07 t=41768
ai 	唉	c=24 d=0.946485 t=41768
ai 	愛	c=4 d=0.239978 t=41768
ai fan er 	愛範兒	c=2 d=0.771052 t=41768
ai guo 	愛過	c=1 d=1 t=2042
ai hao 	愛好	c=2 d=2.63929e-06 t=41768
ai hao zhe 	愛好者	c=3 d=0.257947 t=41768
ai he 	愛喝	c=2 d=1.56269e-08 t=41768
ai ji 	埃及	c=1 d=0.000103081 t=41768
ai ke si 	艾克斯	c=2 d=1.42356 t=41768
ai ma shi 	愛馬仕	c=1 d=1.83693e-07 t=41768
ai mi li 	艾蜜丽	c=0 d=5.6865e-08 t=41768
ai mi li ya 	艾蜜丽亞	c=1 d=5.71501e-07 t=41768
ai qi yi 	愛奇藝	c=22 d=0.975396 t=41768
ai qing 	愛情	c=3 d=0.0205478 t=41768
ai qing gu shi 	愛情故事	c=1 d=0.00618889 t=41768
ai qing pian 	愛情片	c=2 d=0.00449405 t=41768
ai ren 	愛人	c=0 d=0.0293758 t=41768
ai shi fei ji 	艾氏非鯽	c=0 d=0.1 t=2276
ai ya 	哎呀	c=1 d=3.54611e-10 t=41768
ai ze la si 	艾澤拉斯	c=1 d=5.90329e-06 t=41768
ai zhang hao 	唉帳號	c=1 d=6.45923e-06 t=41768
